scenario,cost_review_alert,loss_per_missed_stockout,avoidable_loss_rate,threshold,tp,fp,fn,alerts_generated,baseline_loss,gross_avoided_loss,review_cost,cost_with_model,net_benefit,roi
Conservador,15.0,50.0,0.3,0.1,169222,17916,459,187138,8484050.0,2538330.0,2807070.0,8752790.0,-268740.0,-0.09573683591787878
Conservador,15.0,50.0,0.3,0.125,169079,16813,602,185892,8484050.0,2536185.0,2788380.0,8736245.0,-252195.0,-0.09044498956383276
Conservador,15.0,50.0,0.3,0.15,168941,15891,740,184832,8484050.0,2534115.0,2772480.0,8722415.0,-238365.0,-0.0859753722299169
Conservador,15.0,50.0,0.3,0.175,168762,15014,919,183776,8484050.0,2531430.0,2756640.0,8709260.0,-225210.0,-0.08169728364966046
Conservador,15.0,50.0,0.3,0.2,168548,14133,1133,182681,8484050.0,2528220.0,2740215.0,8696045.0,-211995.0,-0.07736436739452926
Conservador,15.0,50.0,0.3,0.225,168283,13236,1398,181519,8484050.0,2524245.0,2722785.0,8682590.0,-198540.0,-0.07291798654686286
Conservador,15.0,50.0,0.3,0.25,168016,12299,1665,180315,8484050.0,2520240.0,2704725.0,8668535.0,-184485.0,-0.06820841305493165
Conservador,15.0,50.0,0.3,0.275,167698,11341,1983,179039,8484050.0,2515470.0,2685585.0,8654165.0,-170115.0,-0.06334374074922224
Conservador,15.0,50.0,0.3,0.3,167309,10339,2372,177648,8484050.0,2509635.0,2664720.0,8639135.0,-155085.0,-0.05819936053318923
Conservador,15.0,50.0,0.3,0.325,166880,9408,2801,176288,8484050.0,2503200.0,2644320.0,8625170.0,-141120.0,-0.053367217280813214
Conservador,15.0,50.0,0.3,0.35,166409,8507,3272,174916,8484050.0,2496135.0,2623740.0,8611655.0,-127605.0,-0.04863477326259462
Conservador,15.0,50.0,0.3,0.375,165910,7642,3771,173552,8484050.0,2488650.0,2603280.0,8598680.0,-114630.0,-0.04403291232598875
Conservador,15.0,50.0,0.3,0.4,165363,6850,4318,172213,8484050.0,2480445.0,2583195.0,8586800.0,-102750.0,-0.0397763235063555
Conservador,15.0,50.0,0.3,0.425,164860,6172,4821,171032,8484050.0,2472900.0,2565480.0,8576630.0,-92580.0,-0.0360868141634314
Conservador,15.0,50.0,0.3,0.45,164323,5525,5358,169848,8484050.0,2464845.0,2547720.0,8566925.0,-82875.0,-0.032529084828788093
Conservador,15.0,50.0,0.3,0.475,163778,4937,5903,168715,8484050.0,2456670.0,2530725.0,8558105.0,-74055.0,-0.029262365527664997
Conservador,15.0,50.0,0.3,0.5,163251,4416,6430,167667,8484050.0,2448765.0,2515005.0,8550290.0,-66240.0,-0.02633791980532842
Conservador,15.0,50.0,0.3,0.525,162711,3930,6970,166641,8484050.0,2440665.0,2499615.0,8543000.0,-58950.0,-0.023583631879309414
