scenario,threshold,cost_false_negative,cost_false_positive,stockouts_detected,stockouts_missed,false_alerts,alerts_generated,cost_without_model,cost_with_model,estimated_saving
Conservador,0.1,50,5,514302,0,378198,892500,25715100.0,1890990.0,23824110.0
Conservador,0.15000000000000002,50,5,514285,17,378171,892456,25715100.0,1891705.0,23823395.0
Conservador,0.20000000000000004,50,5,514121,181,377951,892072,25715100.0,1898805.0,23816295.0
Conservador,0.25000000000000006,50,5,513122,1180,376676,889798,25715100.0,1942380.0,23772720.0
Conservador,0.30000000000000004,50,5,509179,5123,371739,880918,25715100.0,2114845.0,23600255.0
Conservador,0.3500000000000001,50,5,497613,16689,357769,855382,25715100.0,2623295.0,23091805.0
Conservador,0.40000000000000013,50,5,470065,44237,326135,796200,25715100.0,3842525.0,21872575.0
Conservador,0.45000000000000007,50,5,413441,100861,267623,681064,25715100.0,6381165.0,19333935.0
Conservador,0.5000000000000001,50,5,312044,202258,179268,491312,25715100.0,11009240.0,14705860.0
Conservador,0.5500000000000002,50,5,172451,341851,84996,257447,25715100.0,17517530.0,8197570.0
Conservador,0.6000000000000002,50,5,57983,456319,25879,83862,25715100.0,22945345.0,2769755.0
Conservador,0.6500000000000001,50,5,12395,501907,5627,18022,25715100.0,25123485.0,591615.0
Conservador,0.7000000000000002,50,5,2134,512168,980,3114,25715100.0,25613300.0,101800.0
Conservador,0.7500000000000002,50,5,304,513998,140,444,25715100.0,25700600.0,14500.0
Conservador,0.8000000000000002,50,5,30,514272,19,49,25715100.0,25713695.0,1405.0
Conservador,0.8500000000000002,50,5,1,514301,0,1,25715100.0,25715050.0,50.0
Conservador,0.9000000000000002,50,5,0,514302,0,0,25715100.0,25715100.0,0.0
Medio,0.1,100,10,514302,0,378198,892500,51430200.0,3781980.0,47648220.0
Medio,0.15000000000000002,100,10,514285,17,378171,892456,51430200.0,3783410.0,47646790.0
Medio,0.20000000000000004,100,10,514121,181,377951,892072,51430200.0,3797610.0,47632590.0
Medio,0.25000000000000006,100,10,513122,1180,376676,889798,51430200.0,3884760.0,47545440.0
Medio,0.30000000000000004,100,10,509179,5123,371739,880918,51430200.0,4229690.0,47200510.0
Medio,0.3500000000000001,100,10,497613,16689,357769,855382,51430200.0,5246590.0,46183610.0
Medio,0.40000000000000013,100,10,470065,44237,326135,796200,51430200.0,7685050.0,43745150.0
Medio,0.45000000000000007,100,10,413441,100861,267623,681064,51430200.0,12762330.0,38667870.0
Medio,0.5000000000000001,100,10,312044,202258,179268,491312,51430200.0,22018480.0,29411720.0
Medio,0.5500000000000002,100,10,172451,341851,84996,257447,51430200.0,35035060.0,16395140.0
Medio,0.6000000000000002,100,10,57983,456319,25879,83862,51430200.0,45890690.0,5539510.0
Medio,0.6500000000000001,100,10,12395,501907,5627,18022,51430200.0,50246970.0,1183230.0
Medio,0.7000000000000002,100,10,2134,512168,980,3114,51430200.0,51226600.0,203600.0
Medio,0.7500000000000002,100,10,304,513998,140,444,51430200.0,51401200.0,29000.0
Medio,0.8000000000000002,100,10,30,514272,19,49,51430200.0,51427390.0,2810.0
Medio,0.8500000000000002,100,10,1,514301,0,1,51430200.0,51430100.0,100.0
Medio,0.9000000000000002,100,10,0,514302,0,0,51430200.0,51430200.0,0.0
Alto impacto,0.1,200,15,514302,0,378198,892500,102860400.0,5672970.0,97187430.0
Alto impacto,0.15000000000000002,200,15,514285,17,378171,892456,102860400.0,5675965.0,97184435.0
Alto impacto,0.20000000000000004,200,15,514121,181,377951,892072,102860400.0,5705465.0,97154935.0
Alto impacto,0.25000000000000006,200,15,513122,1180,376676,889798,102860400.0,5886140.0,96974260.0
Alto impacto,0.30000000000000004,200,15,509179,5123,371739,880918,102860400.0,6600685.0,96259715.0
Alto impacto,0.3500000000000001,200,15,497613,16689,357769,855382,102860400.0,8704335.0,94156065.0
Alto impacto,0.40000000000000013,200,15,470065,44237,326135,796200,102860400.0,13739425.0,89120975.0
Alto impacto,0.45000000000000007,200,15,413441,100861,267623,681064,102860400.0,24186545.0,78673855.0
Alto impacto,0.5000000000000001,200,15,312044,202258,179268,491312,102860400.0,43140620.0,59719780.0
Alto impacto,0.5500000000000002,200,15,172451,341851,84996,257447,102860400.0,69645140.0,33215260.0
Alto impacto,0.6000000000000002,200,15,57983,456319,25879,83862,102860400.0,91651985.0,11208415.0
Alto impacto,0.6500000000000001,200,15,12395,501907,5627,18022,102860400.0,100465805.0,2394595.0
Alto impacto,0.7000000000000002,200,15,2134,512168,980,3114,102860400.0,102448300.0,412100.0
Alto impacto,0.7500000000000002,200,15,304,513998,140,444,102860400.0,102801700.0,58700.0
Alto impacto,0.8000000000000002,200,15,30,514272,19,49,102860400.0,102854685.0,5715.0
Alto impacto,0.8500000000000002,200,15,1,514301,0,1,102860400.0,102860200.0,200.0
Alto impacto,0.9000000000000002,200,15,0,514302,0,0,102860400.0,102860400.0,0.0
