feature,importance
rolling_mean_14,1.619353518458782
rolling_mean_30,0.902387193249288
rolling_mean_7,0.8529598806520956
sales,0.3796964557141125
trend_7_30,0.22345685431547505
sales_lag_14,0.11215921692705955
promo,0.10748744994522157
sales_lag_7,0.10378449950799687
week,0.06748539207068802
sales_lag_30,0.055850716142680695
weekday,0.03982036995315144
rolling_std_30,0.03724947605193142
month,0.02904576433156401
quarter,0.01694400324011479
year,0.013276752947766495
day,0.006077313475704386
price,0.0013097395159808187
lead_time_days,0.0009858912014546724
