feature,importance,importance_type
lead_time_days,0.8164787,feature_importances
week,0.061801247,feature_importances
month,0.03814787,feature_importances
promo_days_last_7,0.016567335,feature_importances
trend_7_30,0.01361035,feature_importances
rolling_std_30,0.008135022,feature_importances
rolling_mean_7,0.0064667272,feature_importances
sales,0.006444539,feature_importances
rolling_mean_14,0.0053648464,feature_importances
rolling_mean_30,0.005246302,feature_importances
is_weekend,0.0051299473,feature_importances
weekday,0.0047682114,feature_importances
promo,0.0024738174,feature_importances
year,0.0017333587,feature_importances
price,0.001602369,feature_importances
rolling_price_mean_30,0.0014243418,feature_importances
sales_lag_14,0.0013253359,feature_importances
sales_lag_1,0.0012912466,feature_importances
sales_lag_30,0.0010695946,feature_importances
sales_lag_7,0.00091883074,feature_importances
