feature,importance_mean,importance_std
lead_time_days,0.12804656624453523,0.007907139326724984
week,0.0024061592685110287,0.00014361680677366258
rolling_std_30,0.001236767662108414,0.0001211448344089751
promo_days_last_7,0.00047029401878854554,0.00013118965987371262
trend_7_30,0.000252707240614732,5.212353397607007e-05
rolling_mean_7,0.00022812744694367115,6.269558931159262e-05
rolling_mean_14,0.00014194919671054831,5.6217138819445645e-05
sales,0.00010855363706992656,5.671888164523073e-05
month,7.360022731583982e-05,4.4564176319944765e-05
weekday,6.417104619989751e-05,4.601594665116196e-06
rolling_mean_30,5.405907948511738e-05,1.9751113980853372e-05
rolling_price_mean_30,6.693397838208881e-06,6.916661528892173e-06
price,5.364809708511646e-06,6.592704952414606e-06
sales_lag_14,5.259186081629785e-06,3.826083687605712e-06
is_weekend,1.9449560620943274e-06,3.1025465660045715e-06
sales_lag_1,1.8342952420683882e-06,8.96437217185412e-06
year,0.0,0.0
sales_lag_7,-4.1305773345416226e-06,9.422400913995044e-08
promo,-7.630455934585592e-06,3.2228773898731263e-06
sales_lag_30,-1.6830743141330966e-05,1.5668720641472392e-06
