threshold,accuracy,precision,recall,f1_score,tn,fp,fn,tp,alerts_generated,alert_rate,stockout_capture_rate
0.1,0.908125,0.9042631640821213,0.9972949240044554,0.9485033027949745,12403,17916,459,169222,187138,0.93569,0.9972949240044554
0.125,0.912925,0.9095550104361673,0.9964521661234905,0.9510227154480233,13506,16813,602,169079,185892,0.92946,0.9964521661234905
0.15,0.916845,0.9140246277700831,0.9956388753013007,0.9530877570075005,14428,15891,740,168941,184832,0.92416,0.9956388753013007
0.175,0.920335,0.9183027163503396,0.9945839545971559,0.9549223809402558,15305,15014,919,168762,183776,0.91888,0.9945839545971559
0.2,0.92367,0.9226356326054708,0.9933227644815861,0.9566752373979033,16186,14133,1133,168548,182681,0.913405,0.9933227644815861
0.225,0.92683,0.9270820134531371,0.9917610103665113,0.9583314350797266,17083,13236,1398,168283,181519,0.907595,0.9917610103665113
0.25,0.93018,0.9317915869450684,0.9901874694279266,0.9601024011702991,18020,12299,1665,168016,180315,0.901575,0.9901874694279266
0.275,0.93338,0.9366562592507778,0.9883133644898369,0.9617916953429686,18978,11341,1983,167698,179039,0.895195,0.9883133644898369
0.3,0.936445,0.9418006394668108,0.9860208273171421,0.9634035741328827,19980,10339,2372,167309,177648,0.88824,0.9860208273171421
0.325,0.938955,0.9466327827191868,0.9834925536742476,0.9647107110752697,20911,9408,2801,166880,176288,0.88144,0.9834925536742476
0.35,0.941105,0.9513652267374054,0.980716756737643,0.9658180425250364,21812,8507,3272,166409,174916,0.87458,0.980716756737643
0.375,0.942935,0.9559670876740113,0.9777759442718984,0.9667485352515638,22677,7642,3771,165910,173552,0.86776,0.9777759442718984
0.4,0.94416,0.9602236764936445,0.974552248041914,0.9673349049705464,23469,6850,4318,165363,172213,0.861065,0.974552248041914
0.425,0.945035,0.9639131858365686,0.9715878619291494,0.9677353080158374,24147,6172,4821,164860,171032,0.85516,0.9715878619291494
0.45,0.945585,0.9674709151712119,0.9684230998167149,0.9679467733242226,24794,5525,5358,164323,169848,0.84924,0.9684230998167149
0.475,0.9458,0.970737634472335,0.9652111904102404,0.9679665244270027,25382,4937,5903,163778,168715,0.843575,0.9652111904102404
0.5,0.94577,0.9736620801946716,0.9621053624153558,0.967849223946785,25903,4416,6430,163251,167667,0.838335,0.9621053624153558
0.525,0.9455,0.9764163681206905,0.9589229200676563,0.9675905828343075,26389,3930,6970,162711,166641,0.833205,0.9589229200676563
0.55,0.94496,0.9790186145644023,0.9556049292495918,0.967170090425405,26844,3475,7533,162148,165623,0.828115,0.9556049292495918
0.575,0.944345,0.9814056863864362,0.9524460605489123,0.9667090368022012,27257,3062,8069,161612,164674,0.82337,0.9524460605489123
0.6,0.943445,0.9833894952750715,0.9493755930245579,0.9660832461251061,27598,2721,8590,161091,163812,0.81906,0.9493755930245579
0.625,0.942675,0.985348974182782,0.9465055014998733,0.9655367282586804,27931,2388,9077,160604,162992,0.81496,0.9465055014998733
0.65,0.941675,0.9870663082879195,0.9436177297399237,0.9648531303763562,28221,2098,9567,160114,162212,0.81106,0.9436177297399237
0.675,0.940335,0.988704660644138,0.9404176071569592,0.9639568073699313,28496,1823,10110,159571,161394,0.80697,0.9404176071569592
0.7,0.939175,0.9902763944223107,0.9375121551617447,0.9631721870544107,28757,1562,10603,159078,160640,0.8032,0.9375121551617447
0.725,0.93765,0.9916131412882365,0.9344122205786152,0.9621632774430022,28978,1341,11129,158552,159893,0.799465,0.9344122205786152
0.75,0.93608,0.9928195850059366,0.9313947937600556,0.9611267879731439,29176,1143,11641,158040,159183,0.795915,0.9313947937600556
0.775,0.9341,0.9937531943892328,0.9281593107065611,0.9598369098189309,29329,990,12190,157491,158481,0.792405,0.9281593107065611
0.8,0.9319,0.9946058327998326,0.9247470253004166,0.9584051013303038,29468,851,12769,156912,157763,0.788815,0.9247470253004166
0.825,0.92948,0.9954839326093188,0.9210577495417872,0.9568257233466799,29610,709,13395,156286,156995,0.784975,0.9210577495417872
0.85,0.926755,0.9962294347352922,0.9171386307247128,0.9550493876787024,29730,589,14060,155621,156210,0.78105,0.9171386307247128
0.875,0.923095,0.9969148127632714,0.9121763780270036,0.9526649617312788,29840,479,14902,154779,155258,0.77629,0.9121763780270036
0.9,0.91831,0.9975857794622518,0.9059057879196846,0.9495379407476959,29947,372,15966,153715,154087,0.770435,0.9059057879196846
